Event,Site,Date,Round,White,Black,Result,FinalFEN
FICS rated standard game,FICS freechess.org,2023.01.30,?,Aromas,Slek,1-0,3Q4/1BP1ppbk/p5pp/8/8/P3PqPP/5P2/6K1 b - - 0 34
FICS rated standard game,FICS freechess.org,2023.01.30,?,Speyside,Qiyas,1-0,8/8/8/p7/kpr5/P7/3R1K2/8 b - - 1 69
FICS rated standard game,FICS freechess.org,2023.01.30,?,exeComp,ArasanX,1/2-1/2,6b1/8/6p1/7p/5P1P/5KPk/p7/B7 w - - 100 103
FICS rated standard game,FICS freechess.org,2023.01.30,?,Achonk,scalaQueen,1-0,8/p4q2/7R/4Qpp1/3P1k2/3R1P2/1P2P3/4K3 b - - 0 43
FICS rated standard game,FICS freechess.org,2023.01.30,?,Achonk,MichaelOgbeide,0-1,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1
FICS rated standard game,FICS freechess.org,2023.01.30,?,kamenozrout,Demicka,1-0,8/5k2/8/p7/K3N3/5rPP/pP6/3R4 b - - 1 40
FICS rated standard game,FICS freechess.org,2023.01.30,?,GriffyJr,family,0-1,rn3r1k/4qpp1/4bn1p/3p4/pp3R1P/3BP3/PPPQ2P1/R3K3 w Q - 2 23
FICS rated standard game,FICS freechess.org,2023.01.30,?,Speyside,nodec,1-0,r2q1rk1/1bp1bppp/p2p4/1pnPp3/2P5/1N1P1N2/PP3PPP/R1BQ1RK1 w - - 3 14
FICS rated standard game,FICS freechess.org,2023.01.30,?,ArasanX,exeComp,0-1,7k/3q2p1/5p1p/P7/3Q4/P3P1P1/2r4P/4R1K1 b - - 4 51
FICS rated standard game,FICS freechess.org,2023.01.30,?,AlexeiO,kristijanZD,0-1,5k2/p4ppp/1p2pn2/3p4/1b1P4/1P4P1/4NPKP/8 w - - 0 28
FICS rated standard game,FICS freechess.org,2023.01.30,?,melun,kunde,1-0,r3nrk1/4bppp/p2p4/Qppb2PP/4P3/4BP2/PPP5/1K1R1B1R b - - 0 17
FICS rated standard game,FICS freechess.org,2023.01.30,?,YurijNone,blore,1-0,rnbQ4/pp4pp/4k3/4N3/6q1/8/PP3PPP/5RK1 w - - 4 26
FICS rated standard game,FICS freechess.org,2023.01.30,?,kunde,melun,1-0,8/P5k1/3b2pp/2p5/2Bp1P2/1P3KP1/2P4P/8 b - - 0 42
FICS rated standard game,FICS freechess.org,2023.01.30,?,melun,kunde,0-1,4r1k1/p1p2ppp/3p4/1pnP4/3R1PPP/2K5/PPP1r2R/8 w - - 0 23
FICS rated standard game,FICS freechess.org,2023.01.30,?,kunde,melun,1/2-1/2,8/1p3k2/p4p2/6pp/8/2B1KP2/PPb3PP/8 w - - 0 36
FICS rated standard game,FICS freechess.org,2023.01.30,?,melun,kunde,1-0,r4rk1/pp1q2pR/2ppb1Q1/3N4/4P3/5P2/PPP5/1K5R b - - 1 23
FICS rated standard game,FICS freechess.org,2023.01.30,?,kunde,melun,1/2-1/2,8/8/4k3/6K1/5R2/8/8/r7 w - - 5 54
FICS rated standard game,FICS freechess.org,2023.01.30,?,melun,kunde,1-0,r5k1/4R2p/3p4/2pP1pP1/p4P2/P1P5/1P6/1K6 b - - 0 35
FICS rated standard game,FICS freechess.org,2023.01.30,?,kunde,melun,1-0,r7/p4pp1/Q3bk1p/3p1P2/1P2n3/P7/2P3PP/R4RK1 b - - 0 24
FICS rated standard game,FICS freechess.org,2023.01.30,?,kristijanZD,kunde,1/2-1/2,8/2p1k1p1/pp6/3K4/1P5P/P1Pb4/3N4/8 b - - 8 50
FICS rated standard game,FICS freechess.org,2023.01.30,?,blore,MichaelOgbeide,0-1,r3k3/pp1b3q/4p1p1/1N3p2/4pb2/1QPp1P2/PP3P2/R5K1 w q - 0 23
FICS rated standard game,FICS freechess.org,2023.01.30,?,MichaelOgbeide,blore,1-0,5r1k/6pp/5p2/p3PQ2/8/P7/2rq1PPP/BR2R1K1 b - - 0 32
FICS rated standard game,FICS freechess.org,2023.01.30,?,blore,MichaelOgbeide,0-1,8/2b3pp/pp6/2p2pkP/P1N5/2P1PK2/1P6/8 w - - 1 34
FICS rated standard game,FICS freechess.org,2023.01.30,?,Slek,blore,1-0,4k2r/3nqppp/3bp3/1B2P3/1n1P4/BQ3N2/5PPP/5RK1 b k - 0 20
FICS rated standard game,FICS freechess.org,2023.01.30,?,Alexbourg,scalaQueen,0-1,2r1k3/2p3r1/1pnp1p1p/pNb1pP2/4P3/P2R1NP1/1PP4P/2KR4 w - - 1 24
FICS rated standard game,FICS freechess.org,2023.01.30,?,blore,kristijanZD,0-1,4r1k1/8/p1p1P1p1/7p/4KN2/2p5/r4b2/2Bb3R w - - 0 36
FICS rated standard game,FICS freechess.org,2023.01.30,?,Slek,blore,1-0,rk3b1r/2R3pp/1B2p3/4n3/2B5/1QN5/PP4PP/2K4R b - - 0 22
FICS rated standard game,FICS freechess.org,2023.01.30,?,scalaQueen,Alexbourg,1-0,4R2k/7P/3p2P1/2pPb3/2P5/5K2/8/8 b - - 2 66
FICS rated standard game,FICS freechess.org,2023.01.30,?,Alexbourg,scalaQueen,1-0,7k/7Q/5pB1/4pP1p/4P2P/5P2/6K1/8 b - - 6 63
FICS rated standard game,FICS freechess.org,2023.01.30,?,VictoriaBot,GaiusGracchus,0-1,2r2bk1/5pp1/4p1p1/2r3Pn/3qP1QP/8/2p1BP2/R4R1K w - - 4 37
FICS rated standard game,FICS freechess.org,2023.01.30,?,GaiusGracchus,VictoriaBot,1-0,r1bqkb1r/pp2p3/2n1P1B1/3pp3/2p5/2P5/PP1P1PPP/RNB1K2R b KQkq - 0 12
FICS rated standard game,FICS freechess.org,2023.01.30,?,VictoriaBot,GaiusGracchus,0-1,2r2bk1/5pp1/4p1p1/2r3Pn/3qP1QP/8/2p1BP2/R4R1K w - - 4 37
FICS rated standard game,FICS freechess.org,2023.01.30,?,GaiusGracchus,VictoriaBot,1-0,r1bqkb1r/pp2p3/2n1P1Q1/3pp3/2p5/2P5/PP1P1PPP/RNB1K2R b KQkq - 0 12
FICS rated standard game,FICS freechess.org,2023.01.30,?,VictoriaBot,GaiusGracchus,0-1,2r2bk1/5pp1/4p1p1/2r3Pn/3qP1QP/8/2p1BP2/R4R1K w - - 4 37
FICS rated standard game,FICS freechess.org,2023.01.30,?,GaiusGracchus,VictoriaBot,1-0,r1bqkb1r/pp2p3/2n1P1B1/3pp3/2p5/2P5/PP1P1PPP/RNB1K2R b KQkq - 0 12
FICS rated standard game,FICS freechess.org,2023.01.30,?,VictoriaBot,GaiusGracchus,0-1,2r2bk1/5pp1/4p1p1/2r3Pn/3qP1QP/8/2p1BP2/R4R1K w - - 4 37
FICS rated standard game,FICS freechess.org,2023.01.30,?,GaiusGracchus,VictoriaBot,1-0,r1bqkb1r/pp2p3/2n1P1B1/3pp3/2p5/2P5/PP1P1PPP/RNB1K2R b KQkq - 0 12
FICS rated standard game,FICS freechess.org,2023.01.30,?,scalaQueen,Alexbourg,0-1,8/5p2/1k5p/1N1Pb1p1/K5P1/7P/2P2P2/8 w - - 1 48
FICS rated standard game,FICS freechess.org,2023.01.30,?,VictoriaBot,GaiusGracchus,0-1,2r2bk1/5pp1/4p1p1/2r3Pn/3qP1QP/8/2p1BP2/R4R1K w - - 4 37
FICS rated standard game,FICS freechess.org,2023.01.30,?,SEPry,konozrout,1-0,8/8/8/8/8/6K1/8/5R1k b - - 36 78
FICS rated standard game,FICS freechess.org,2023.01.30,?,konozrout,SEPry,1-0,7r/pp3Q2/2p2RB1/3k4/3P1q2/2P5/PP3PPP/1R4K1 b - - 0 26
FICS rated standard game,FICS freechess.org,2023.01.30,?,kamenozrout,HappyPawns,0-1,8/8/4kp2/4p1pp/1P2P2P/5PP1/p6N/2n3K1 w - - 0 42
FICS rated standard game,FICS freechess.org,2023.01.30,?,blore,Slek,0-1,8/2k5/2p5/2P5/8/6pb/r7/7K w - - 0 68
FICS rated standard game,FICS freechess.org,2023.01.30,?,HappyPawns,GriffyJr,1-0,2b1kb1r/2q2ppp/p1Q5/1p2p1B1/8/1p3N2/1PP2PPP/R2R2K1 b k - 2 19
FICS rated standard game,FICS freechess.org,2023.01.30,?,Alexbourg,scalaQueen,1-0,8/8/8/8/8/p7/2K5/kQ6 b - - 3 62
FICS rated standard game,FICS freechess.org,2023.01.30,?,Qiyas,lutidol,0-1,7k/1pp1P2p/6b1/3p2P1/pP4K1/P5r1/2P2b2/4R3 w - - 3 49
FICS rated standard game,FICS freechess.org,2023.01.30,?,scalaQueen,Alexbourg,0-1,8/8/6k1/1p5q/5p1K/5P2/3q4/8 w - - 2 53
